,item_id,product,available_quantity,original_price,warranty,listing_type_id,tags,price,accepts_mercadopago,category_id,seller_address.country.name,seller_address.state.name,initial_quantity,domain_id,buying_mode,catalog_product_id,health,start_time,base_price,official_store_id,status,title,seller_id,sold_quantity,condition,questions_total,user_seller_reputation.transactions.canceled,user_seller_reputation.transactions.ratings.negative,user_user_type,user_seller_reputation.level_id,user_seller_reputation.power_seller_status,user_nickname,user_seller_reputation.transactions.completed,user_seller_reputation.transactions.ratings.neutral,user_seller_reputation.transactions.ratings.positive,product_domain_id,product_name,reviews_total
0,MLA865606925,Apple Macbook,1,,Garantía del vendedor: 6 meses,gold_special,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",160000.0,True,MLA1652,Argentina,Capital Federal,33,MLA-NOTEBOOKS,buy_it_now,MLA15913938,0.75,2020-07-02T00:57:57.000Z,160000.0,,active,Apple Macbook Air 13.3' 2020 Intel I3 8gb 256gb,5276693,15,new,272.0,249.0,0.01,normal,5_green,platinum,HARLEM,2673.0,0.02,0.97,MLA-NOTEBOOKS,Apple MacBook Air A2179,
1,MLA902168595,Apple Macbook,1,,Garantía de fábrica: 12 meses,gold_special,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",154900.0,True,MLA1652,Argentina,Córdoba,5,MLA-NOTEBOOKS,buy_it_now,MLA15913938,0.87,2020-12-24T15:15:11.000Z,154900.0,,active,"Apple Macbook Air 13.3 Intel Core I3 256gb Ssd, 8gb Envios",158169010,4,new,22.0,360.0,0.01,normal,5_green,platinum,COATI DIGITAL,4425.0,0.01,0.98,MLA-NOTEBOOKS,Apple MacBook Air A2179,
2,MLA871311137,Apple Macbook,1,,Garantía del vendedor: 6 meses,gold_special,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",200000.0,True,MLA1652,Argentina,Capital Federal,8,MLA-NOTEBOOKS,buy_it_now,,0.87,2020-08-02T06:21:45.000Z,200000.0,,active,Apple Macbook Air 13 Core I5 8gb 512gb Ssd Modelo 2020,5276693,6,new,39.0,249.0,0.01,normal,5_green,platinum,HARLEM,2673.0,0.02,0.97,,,
3,MLA896864876,Apple Macbook,2,,Garantía de fábrica: 12 meses,gold_special,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",154499.0,True,MLA1652,Argentina,Capital Federal,10,MLA-NOTEBOOKS,buy_it_now,MLA15913938,0.87,2020-11-12T13:17:42.000Z,154499.0,,active,"Apple Macbook Air 2020 13.3 Core I3 8gb 256gb A2179 1,29kg",86898163,7,new,22.0,1415.0,0.01,normal,5_green,platinum,OFERTAS INFORMATICAS,27396.0,0.01,0.98,MLA-NOTEBOOKS,Apple MacBook Air A2179,
4,MLA903181331,Apple Macbook,1,,Garantía de fábrica: 12 meses,gold_special,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",459999.0,True,MLA1652,Argentina,Buenos Aires,5,MLA-NOTEBOOKS,buy_it_now,,0.87,2021-01-05T15:15:27.000Z,459999.0,1938,active,Apple Macbook Pro 16 2020 Touch Bar Intel Core I7 512gb,608846165,1,new,,8508.0,0.07,brand,5_green,platinum,ELECTRONICAFLA,190382.0,0.03,0.9,,,
5,MLA865569740,Apple Macbook,1,,Garantía de fábrica: 12 meses,gold_special,"['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",225000.0,True,MLA1652,Argentina,Capital Federal,34,MLA-NOTEBOOKS,buy_it_now,,0.87,2020-07-01T20:54:03.000Z,225000.0,,active,"Macbook Air 13.3 Intel Core I5 512gb Ssd, 8gb (nuevo Modelo)",44778367,15,new,143.0,436.0,0.01,normal,5_green,platinum,EAGLETECHNOLOGY,7698.0,0.0,0.99,,,
6,MLA831825009,Apple Macbook,10500,,Garantía del vendedor: 12 meses,gold_pro,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",259999.0,True,MLA1652,Argentina,Capital Federal,20901,MLA-NOTEBOOKS,buy_it_now,MLA15913938,1.0,2019-12-26T17:37:14.000Z,259999.0,,active,Macbook Air 2020 Retina Sensor Id Ssd256gb 18 Cuotas Sin Int,225480741,12,new,536.0,335.0,0.0,normal,5_green,platinum,MLSERCOFIN,4411.0,0.0,1.0,MLA-NOTEBOOKS,Apple MacBook Air A2179,
7,MLA903404556,Apple Macbook,1,,Garantía de fábrica: 1 años,gold_special,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",155999.0,True,MLA1652,Argentina,Capital Federal,3,MLA-NOTEBOOKS,buy_it_now,MLA15913938,0.87,2021-01-07T02:09:31.000Z,155999.0,,active,Apple Macbook Air 13.3 Español Intel Core I3 256gb Ssd 8gb,53644240,2,new,8.0,31.0,0.0,normal,5_green,silver,TRICU3O,624.0,0.01,0.99,MLA-NOTEBOOKS,Apple MacBook Air A2179,
8,MLA896870097,Apple Macbook,2,,Garantía de fábrica: 12 meses,gold_special,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",154000.0,True,MLA1652,Argentina,Capital Federal,14,MLA-NOTEBOOKS,buy_it_now,MLA15913938,0.9,2020-11-12T13:39:30.000Z,154000.0,,active,Apple Macbook Air 2020 13.3 A2179 Intel Core I3 8gb 256gb ,69526727,7,new,46.0,1467.0,0.02,normal,5_green,platinum,ELECTRONIC-MARKET,28171.0,0.02,0.96,MLA-NOTEBOOKS,Apple MacBook Air A2179,
9,MLA897147605,Apple Macbook,1,,Garantía de fábrica: 12 meses,gold_special,"['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",260000.0,True,MLA1652,Argentina,Buenos Aires,1,MLA-NOTEBOOKS,buy_it_now,MLA16598196,0.8,2020-11-14T01:59:05.000Z,260000.0,,active,Macbook Pro 13 Touchbar 2020 I5 8gb 256gb Ssd Garantia,337885694,0,new,42.0,3.0,0.0,normal,5_green,,FLP8381,22.0,0.01,0.99,MLA-NOTEBOOKS,Apple MacBook Pro A2289,
