,item_id,product,condition,accepts_mercadopago,category_id,seller_address.state.name,title,health,warranty,original_price,start_time,catalog_product_id,available_quantity,official_store_id,sold_quantity,domain_id,price,status,listing_type_id,buying_mode,seller_id,initial_quantity,tags,seller_address.country.name,base_price,questions_total,users_seller_reputation.transactions.completed,users_seller_reputation.power_seller_status,users_seller_reputation.level_id,users_seller_reputation.transactions.ratings.negative,users_seller_reputation.transactions.canceled,users_seller_reputation.transactions.ratings.positive,users_nickname,users_seller_reputation.transactions.ratings.neutral,users_user_type
0,MLA865606925,Macbook,new,True,MLA1652,Capital Federal,Apple Macbook Air 13.3' 2020 Intel I3 8gb 256gb,0.75,Garantía del vendedor: 6 meses,,2020-07-02T00:57:57.000Z,MLA15913938,1,,15,MLA-NOTEBOOKS,160000.0,active,gold_special,buy_it_now,5276693,33,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Argentina,160000.0,272.0,2670.0,platinum,5_green,0.01,249.0,0.97,HARLEM,0.02,normal
1,MLA902168595,Macbook,new,True,MLA1652,Córdoba,"Apple Macbook Air 13.3 Intel Core I3 256gb Ssd, 8gb Envios",0.87,Garantía de fábrica: 12 meses,,2020-12-24T15:15:11.000Z,MLA15913938,1,,4,MLA-NOTEBOOKS,154900.0,active,gold_special,buy_it_now,158169010,5,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,154900.0,21.0,4421.0,platinum,5_green,0.01,360.0,0.98,COATI DIGITAL,0.01,normal
2,MLA865569740,Macbook,new,True,MLA1652,Capital Federal,"Macbook Air 13.3 Intel Core I5 512gb Ssd, 8gb (nuevo Modelo)",0.87,Garantía de fábrica: 12 meses,,2020-07-01T20:54:03.000Z,,2,,15,MLA-NOTEBOOKS,225000.0,active,gold_special,buy_it_now,44778367,34,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,225000.0,,7694.0,platinum,5_green,0.01,436.0,0.99,EAGLETECHNOLOGY,0.0,normal
3,MLA871311137,Macbook,new,True,MLA1652,Capital Federal,Apple Macbook Air 13 Core I5 8gb 512gb Ssd Modelo 2020,0.87,Garantía del vendedor: 6 meses,,2020-08-02T06:21:45.000Z,,1,,6,MLA-NOTEBOOKS,200000.0,active,gold_special,buy_it_now,5276693,8,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,200000.0,39.0,2670.0,platinum,5_green,0.01,249.0,0.97,HARLEM,0.02,normal
4,MLA903181331,Macbook,new,True,MLA1652,Buenos Aires,Apple Macbook Pro 16 2020 Touch Bar Intel Core I7 512gb,0.87,Garantía de fábrica: 12 meses,,2021-01-05T15:15:27.000Z,,1,1938,1,MLA-NOTEBOOKS,459999.0,active,gold_special,buy_it_now,608846165,5,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,459999.0,4.0,189808.0,platinum,5_green,0.07,8478.0,0.9,ELECTRONICAFLA,0.03,brand
5,MLA896864876,Macbook,new,True,MLA1652,Capital Federal,"Apple Macbook Air 2020 13.3 Core I3 8gb 256gb A2179 1,29kg",0.87,Garantía de fábrica: 12 meses,,2020-11-12T13:17:42.000Z,MLA15913938,2,,6,MLA-NOTEBOOKS,154499.0,active,gold_special,buy_it_now,86898163,10,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Argentina,154499.0,,27378.0,platinum,5_green,0.01,1415.0,0.98,OFERTAS INFORMATICAS,0.01,normal
6,MLA831825009,Macbook,new,True,MLA1652,Capital Federal,Macbook Air 2020 Retina Sensor Id Ssd256gb 18 Cuotas Sin Int,1.0,Garantía del vendedor: 12 meses,,2019-12-26T17:37:14.000Z,MLA15913938,10500,,12,MLA-NOTEBOOKS,259999.0,active,gold_pro,buy_it_now,225480741,20901,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,259999.0,,4409.0,platinum,5_green,0.0,335.0,1.0,MLSERCOFIN,0.0,normal
7,MLA903404556,Macbook,new,True,MLA1652,Capital Federal,Apple Macbook Air 13.3 Español Intel Core I3 256gb Ssd 8gb,0.87,Garantía de fábrica: 1 años,,2021-01-07T02:09:31.000Z,MLA15913938,1,,2,MLA-NOTEBOOKS,155999.0,active,gold_special,buy_it_now,53644240,3,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,155999.0,6.0,622.0,silver,5_green,0.0,31.0,0.99,TRICU3O,0.01,normal
8,MLA896870097,Macbook,new,True,MLA1652,Capital Federal,Apple Macbook Air 2020 13.3 A2179 Intel Core I3 8gb 256gb ,0.9,Garantía de fábrica: 12 meses,,2020-11-12T13:39:30.000Z,MLA15913938,2,,7,MLA-NOTEBOOKS,154000.0,active,gold_special,buy_it_now,69526727,14,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",Argentina,154000.0,,28145.0,platinum,5_green,0.02,1467.0,0.96,ELECTRONIC-MARKET,0.02,normal
9,MLA897147605,Macbook,new,True,MLA1652,Buenos Aires,Macbook Pro 13 Touchbar 2020 I5 8gb 256gb Ssd Garantia,0.8,Garantía de fábrica: 12 meses,,2020-11-14T01:59:05.000Z,MLA16598196,1,,0,MLA-NOTEBOOKS,260000.0,active,gold_special,buy_it_now,337885694,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",Argentina,260000.0,41.0,22.0,,5_green,0.0,3.0,0.99,FLP8381,0.01,normal
